"Line" 	"ttld_Line"	"Full Name"
"ATLANTIC CITY"	"ACRL"	"Atlantic City Line"
"DOVER"	"M&E"	"Morris & Essex Line"
"GLADSTONE"	"M&E"	"Morris & Essex Line"
"SUMMIT"	"M&E"	"Morris & Essex Line"
"MONTCLAIR"	"MNBTN"	"Montclair-Boonton Line"
"BOONTON"	"MNBTN"	"Montclair-Boonton Line"
"PASCACK"	"PASC"	"Pascack Valley Line"
"MAIN"	"MAIN"	"Main Line"
"S. TIER"	"MAIN"	"Main Line"
"WALDWICK"	"MAIN"	"Main Line"
"BERGEN"	"BERG"	"Bergen County Line"
"COAST"	"NJCL"	"North Jersey Coast Line"
"RARITAN"	"RARV"	"Raritan Valley Line"
"CORRIDOR"	"NEC"	"Northeast Corridor Line"
